"EAD AVE","FID AVE","EAD 1","FID 1"
-0.324219,0.141602,-0.324219,0.141602
-0.324219,0.141602,-0.324219,0.141602
-0.324219,0.141602,-0.324219,0.141602
-0.324219,0.141602,-0.324219,0.141602
-0.324219,0.141602,-0.324219,0.141602
-0.324219,0.141602,-0.324219,0.141602
-0.324219,0.141602,-0.324219,0.141602
-0.324219,0.141602,-0.324219,0.141602
-0.324219,0.141602,-0.324219,0.141602
-0.324219,0.141602,-0.324219,0.141602
-0.303711,0.140625,-0.303711,0.140625
-0.303711,0.140625,-0.303711,0.140625
-0.303711,0.140625,-0.303711,0.140625
-0.303711,0.140625,-0.303711,0.140625
-0.303711,0.140625,-0.303711,0.140625
-0.303711,0.140625,-0.303711,0.140625
-0.303711,0.140625,-0.303711,0.140625
-0.303711,0.140625,-0.303711,0.140625
-0.303711,0.140625,-0.303711,0.140625
-0.303711,0.140625,-0.303711,0.140625
-0.00585938,0.138672,-0.00585938,0.138672
-0.00585938,0.138672,-0.00585938,0.138672
-0.00585938,0.138672,-0.00585938,0.138672
-0.00585938,0.138672,-0.00585938,0.138672
-0.00585938,0.138672,-0.00585938,0.138672
-0.00585938,0.138672,-0.00585938,0.138672
-0.00585938,0.138672,-0.00585938,0.138672
-0.00585938,0.138672,-0.00585938,0.138672
-0.00585938,0.138672,-0.00585938,0.138672
-0.00585938,0.138672,-0.00585938,0.138672
-0.0107422,0.139648,-0.0107422,0.139648
-0.0107422,0.139648,-0.0107422,0.139648
-0.0107422,0.139648,-0.0107422,0.139648
-0.0107422,0.139648,-0.0107422,0.139648
-0.0107422,0.139648,-0.0107422,0.139648
-0.0107422,0.139648,-0.0107422,0.139648
-0.0107422,0.139648,-0.0107422,0.139648
-0.0107422,0.139648,-0.0107422,0.139648
-0.0107422,0.139648,-0.0107422,0.139648
-0.0107422,0.139648,-0.0107422,0.139648
0.0395508,0.141113,0.0395508,0.141113
0.0395508,0.141113,0.0395508,0.141113
0.0395508,0.141113,0.0395508,0.141113
0.0395508,0.141113,0.0395508,0.141113
0.0395508,0.141113,0.0395508,0.141113
0.0395508,0.141113,0.0395508,0.141113
0.0395508,0.141113,0.0395508,0.141113
0.0395508,0.141113,0.0395508,0.141113
0.0395508,0.141113,0.0395508,0.141113
0.0395508,0.141113,0.0395508,0.141113
0.10498,0.14209,0.10498,0.14209
0.10498,0.14209,0.10498,0.14209
0.10498,0.14209,0.10498,0.14209
0.10498,0.14209,0.10498,0.14209
0.10498,0.14209,0.10498,0.14209
0.10498,0.14209,0.10498,0.14209
0.10498,0.14209,0.10498,0.14209
